location,datetime,count
vrsic,2022-09-08,31
vrsic,2022-09-09,25
vrsic,2022-09-10,72
vrsic,2022-09-11,202
vrsic,2022-09-12,162
vrsic,2022-09-13,165
vrsic,2022-09-14,36
vrsic,2022-09-15,16
vrsic,2022-09-16,4
vrsic,2022-09-17,14
vrsic,2022-09-18,93
vrsic,2022-09-19,97
vrsic,2022-09-20,44
vrsic,2022-09-21,87
vrsic,2022-09-22,92
vrsic,2022-09-23,110
vrsic,2022-09-24,43
vrsic,2022-09-25,10
vrsic,2022-09-26,20
vrsic,2022-09-27,6
vrsic,2022-09-28,4
vrsic,2022-09-29,9
vrsic,2022-09-30,1
vrsic,2022-10-01,19
vrsic,2022-10-02,76
vrsic,2022-10-03,26
vrsic,2022-10-04,15
vrsic,2022-10-05,38
vrsic,2022-10-06,21
vrsic,2022-10-07,71
vrsic,2022-10-08,178
vrsic,2022-10-09,39
vrsic,2022-10-10,17
vrsic,2022-10-11,50
vrsic,2022-10-12,10
vrsic,2022-10-13,58
vrsic,2022-10-14,35
vrsic,2022-10-15,66
vrsic,2022-10-16,129
vrsic,2022-10-17,28
vrsic,2022-10-18,79
vrsic,2022-10-19,89
vrsic,2022-10-20,20
vrsic,2022-10-21,7
vrsic,2022-10-22,5
vrsic,2022-10-23,17
vrsic,2022-10-24,1
vrsic,2022-10-25,2
vrsic,2022-10-26,28
vrsic,2022-10-27,44
vrsic,2022-10-28,33
vrsic,2022-10-29,171
vrsic,2022-10-30,184
vrsic,2022-10-31,277
vrsic,2022-11-01,92
vrsic,2022-11-02,39
vrsic,2022-11-03,4
vrsic,2022-11-04,0
vrsic,2022-11-05,20
vrsic,2022-11-06,39
vrsic,2022-11-07,10
vrsic,2022-11-08,6
vrsic,2022-11-09,0
vrsic,2022-11-10,1
vrsic,2022-11-11,6
vrsic,2022-11-12,8
vrsic,2022-11-13,48
vrsic,2022-11-14,0
vrsic,2022-11-15,0
vrsic,2022-11-16,2
vrsic,2022-11-17,0
vrsic,2022-11-18,0
vrsic,2022-11-19,0
vrsic,2022-11-20,0
vrsic,2022-11-21,0
vrsic,2022-11-22,0
vrsic,2022-07-15,240
vrsic,2022-07-16,251
vrsic,2022-07-17,555
vrsic,2022-07-18,382
vrsic,2022-07-19,351
vrsic,2022-07-20,459
vrsic,2022-07-21,458
vrsic,2022-07-22,383
vrsic,2022-07-23,624
vrsic,2022-07-24,465
vrsic,2022-07-25,512
vrsic,2022-07-26,234
vrsic,2022-07-27,453
vrsic,2022-07-28,731
vrsic,2022-07-29,240
vrsic,2022-07-30,381
vrsic,2022-07-31,532
vrsic,2022-08-01,452
vrsic,2022-08-02,419
vrsic,2022-08-03,692
vrsic,2022-08-04,498
vrsic,2022-08-05,321
vrsic,2022-08-06,228
vrsic,2022-08-07,193
vrsic,2022-08-08,113
vrsic,2022-08-09,682
vrsic,2022-08-10,620
vrsic,2022-08-11,606
vrsic,2022-08-12,267
vrsic,2022-08-13,522
vrsic,2022-08-14,762
vrsic,2022-08-15,482
vrsic,2022-08-16,484
vrsic,2022-08-17,700
vrsic,2022-08-18,477
vrsic,2022-08-19,48
vrsic,2022-08-20,328
vrsic,2022-08-21,510
vrsic,2022-08-22,337
vrsic,2022-08-23,449
vrsic,2022-08-24,534
vrsic,2022-08-25,375
vrsic,2022-08-26,334
vrsic,2022-08-27,180
vrsic,2022-08-28,134
vrsic,2022-08-29,333
vrsic,2022-08-30,316
vrsic,2022-08-31,12
vrsic,2022-09-01,141
vrsic,2022-09-02,318
vrsic,2022-09-03,318
vrsic,2022-09-04,338
vrsic,2022-09-05,310
vrsic,2022-09-06,355
vrsic,2022-09-07,193
vrsic,2022-09-08,34
vrsic,2022-09-09,48
vrsic,2022-09-10,176
vrsic,2022-09-11,287
vrsic,2022-09-12,393
vrsic,2022-09-13,255
vrsic,2022-09-14,54
vrsic,2022-09-15,33
vrsic,2022-09-16,53
vrsic,2022-09-17,55
vrsic,2022-09-18,314
vrsic,2022-09-19,249
vrsic,2022-09-20,321
vrsic,2022-09-21,156
vrsic,2022-09-22,393
vrsic,2022-09-23,273
vrsic,2022-09-24,338
vrsic,2022-09-25,11
vrsic,2022-09-26,60
vrsic,2022-09-27,6
vrsic,2022-09-28,93
vrsic,2022-09-29,8
vrsic,2022-09-30,14
vrsic,2022-10-01,91
vrsic,2022-10-02,343
vrsic,2022-10-03,186
vrsic,2022-10-04,161
vrsic,2022-10-05,253
vrsic,2022-10-06,257
vrsic,2022-10-07,282
vrsic,2022-10-08,1235
vrsic,2022-10-09,213
vrsic,2022-10-10,123
vrsic,2022-10-11,326
vrsic,2022-10-12,173
vrsic,2022-10-13,287
vrsic,2022-10-14,374
vrsic,2022-10-15,1325
vrsic,2022-10-16,2458
vrsic,2022-10-17,356
vrsic,2022-10-18,759
vrsic,2022-10-19,672
vrsic,2022-10-20,89
vrsic,2022-10-21,109
vrsic,2022-10-22,0
vrsic,2022-10-23,374
vrsic,2022-10-24,8
vrsic,2022-10-25,39
vrsic,2022-10-26,221
vrsic,2022-10-27,390
vrsic,2022-10-28,467
vrsic,2022-10-29,1181
vrsic,2022-10-30,1947
vrsic,2022-10-31,1728
vrsic,2022-11-01,785
vrsic,2022-11-02,147
vrsic,2022-11-03,10
vrsic,2022-11-04,0
vrsic,2022-11-05,136
vrsic,2022-11-06,514
vrsic,2022-11-07,62
vrsic,2022-11-08,71
vrsic,2022-11-09,0
vrsic,2022-11-10,0
vrsic,2022-11-11,30
vrsic,2022-11-12,105
vrsic,2022-11-13,244
vrsic,2022-11-14,8
vrsic,2022-11-15,0
vrsic,2022-11-16,0
vrsic,2022-11-17,1
vrsic,2022-11-18,0
vrsic,2022-11-19,0
vrsic,2022-11-20,0
vrsic,2022-11-21,0
vrsic,2022-11-22,0
vrsic,2022-07-15,11
vrsic,2022-07-16,27
vrsic,2022-07-17,61
vrsic,2022-07-18,58
vrsic,2022-07-19,51
vrsic,2022-07-20,55
vrsic,2022-07-21,30
vrsic,2022-07-22,65
vrsic,2022-07-23,54
vrsic,2022-07-24,16
vrsic,2022-07-25,62
vrsic,2022-07-26,17
vrsic,2022-07-27,50
vrsic,2022-07-28,42
vrsic,2022-07-29,23
vrsic,2022-07-30,28
vrsic,2022-07-31,66
vrsic,2022-08-01,101
vrsic,2022-08-02,58
vrsic,2022-08-03,46
vrsic,2022-08-04,53
vrsic,2022-08-05,44
vrsic,2022-08-06,26
vrsic,2022-08-07,46
vrsic,2022-08-08,44
vrsic,2022-08-09,58
vrsic,2022-08-10,38
vrsic,2022-08-11,44
vrsic,2022-08-12,24
vrsic,2022-08-13,116
vrsic,2022-08-14,91
vrsic,2022-08-15,27
vrsic,2022-08-16,45
vrsic,2022-08-17,50
vrsic,2022-08-18,44
vrsic,2022-08-19,17
vrsic,2022-08-20,69
vrsic,2022-08-21,57
vrsic,2022-08-22,42
vrsic,2022-08-23,47
vrsic,2022-08-24,53
vrsic,2022-08-25,9
vrsic,2022-08-26,33
vrsic,2022-08-27,32
vrsic,2022-08-28,24
vrsic,2022-08-29,47
vrsic,2022-08-30,38
vrsic,2022-08-31,22
vrsic,2022-09-01,31
vrsic,2022-09-02,32
vrsic,2022-09-03,17
vrsic,2022-09-04,29
vrsic,2022-09-05,46
vrsic,2022-09-06,31
vrsic,2022-09-07,24
vrsic,2022-09-08,25
vrsic,2022-09-09,4
vrsic,2022-09-10,32
vrsic,2022-09-11,37
vrsic,2022-09-12,45
vrsic,2022-09-13,45
vrsic,2022-09-14,16
vrsic,2022-09-15,11
vrsic,2022-09-16,12
vrsic,2022-09-17,34
vrsic,2022-09-18,38
vrsic,2022-09-19,36
vrsic,2022-09-20,22
vrsic,2022-09-21,33
vrsic,2022-09-22,35
vrsic,2022-09-23,15
vrsic,2022-09-24,6
vrsic,2022-09-25,10
vrsic,2022-09-26,27
vrsic,2022-09-27,23
vrsic,2022-09-28,11
vrsic,2022-09-29,8
vrsic,2022-09-30,4
vrsic,2022-10-01,4
vrsic,2022-10-02,8
vrsic,2022-10-03,15
vrsic,2022-10-04,9
vrsic,2022-10-05,15
vrsic,2022-10-06,15
vrsic,2022-10-07,14
